"hsapiens_homolog_ensembl_gene" "ensembl_gene_id.x" "external_gene_name.x" "hsapiens_homolog_associated_gene_name.x" "ensembl_gene_id.y" "external_gene_name.y" "hsapiens_homolog_associated_gene_name.y" "ensembl_gene_id" "external_gene_name" "hsapiens_homolog_associated_gene_name"
"11" "ENSG00000001461" "ENSDARG00000021147" "nipal3" "NIPAL3" "ENSGALG00010015855" "NIPAL3" "NIPAL3" "ENSRNOG00000037165" "Nipal3" "NIPAL3"
"12" "ENSG00000001497" "ENSDARG00000062457" "las1l" "LAS1L" "ENSGALG00010015057" "LAS1L" "LAS1L" "ENSRNOG00000021748" "Las1l" "LAS1L"
"13" "ENSG00000001561" "ENSDARG00000006877" "enpp4" "ENPP4" "ENSGALG00010008201" "ENPP4" "ENPP4" "ENSRNOG00000010174" "Enpp4" "ENPP4"
"14" "ENSG00000001617" "ENSDARG00000055373" "sema3fb" "SEMA3F" "ENSGALG00010027590" "SEMA3F" "SEMA3F" "ENSRNOG00000017704" "Sema3f" "SEMA3F"
"15" "ENSG00000001617" "ENSDARG00000011163" "sema3fa" "SEMA3F" "ENSGALG00010027590" "SEMA3F" "SEMA3F" "ENSRNOG00000017704" "Sema3f" "SEMA3F"
"16" "ENSG00000001626" "ENSDARG00000041107" "cftr" "CFTR" "ENSGALG00010001202" "CFTR" "CFTR" "ENSRNOG00000055103" "Cftr" "CFTR"
"17" "ENSG00000001629" "ENSDARG00000076829" "ankib1b" "ANKIB1" "ENSGALG00010004891" "ANKIB1" "ANKIB1" "ENSRNOG00000005502" "Ankib1" "ANKIB1"
"18" "ENSG00000001630" "ENSDARG00000042641" "cyp51" "CYP51A1" "ENSGALG00010005267" "CYP51A1" "CYP51A1" "ENSRNOG00000007234" "Cyp51" "CYP51A1"
"19" "ENSG00000001630" "ENSDARG00000042641" "cyp51" "CYP51A1" "ENSGALG00010005267" "CYP51A1" "CYP51A1" "ENSRNOG00000065555" "" "CYP51A1"
"20" "ENSG00000001631" "ENSDARG00000098916" "krit1" "KRIT1" "ENSGALG00010004883" "KRIT1" "KRIT1" "ENSRNOG00000007937" "Krit1" "KRIT1"
"21" "ENSG00000002016" "ENSDARG00000005274" "rad52" "RAD52" "ENSGALG00010012367" "RAD52" "RAD52" "ENSRNOG00000009742" "Rad52" "RAD52"
"22" "ENSG00000002549" "ENSDARG00000061981" "lap3" "LAP3" "ENSGALG00010010997" "LAP3" "LAP3" "ENSRNOG00000069260" "" "LAP3"
"23" "ENSG00000002549" "ENSDARG00000061981" "lap3" "LAP3" "ENSGALG00010010997" "LAP3" "LAP3" "ENSRNOG00000003289" "Lap3" "LAP3"
"24" "ENSG00000002726" "ENSDARG00000061355" "aoc1" "AOC1" "ENSGALG00010027191" "AOC1" "AOC1" "ENSRNOG00000032432" "Doxl2" "AOC1"
"25" "ENSG00000002726" "ENSDARG00000061355" "aoc1" "AOC1" "ENSGALG00010027191" "AOC1" "AOC1" "ENSRNOG00000008575" "Aoc1" "AOC1"
"26" "ENSG00000002726" "ENSDARG00000061355" "aoc1" "AOC1" "ENSGALG00010027191" "AOC1" "AOC1" "ENSRNOG00000008714" "Svs1" "AOC1"
"27" "ENSG00000002726" "ENSDARG00000061355" "aoc1" "AOC1" "ENSGALG00010027191" "AOC1" "AOC1" "ENSRNOG00000023612" "Doxl1" "AOC1"
"28" "ENSG00000002745" "ENSDARG00000094973" "wnt16" "WNT16" "ENSGALG00010001305" "WNT16" "WNT16" "ENSRNOG00000005781" "Wnt16" "WNT16"
"29" "ENSG00000002746" "ENSDARG00000004291" "hecw1b" "HECW1" "ENSGALG00010007915" "HECW1" "HECW1" "ENSRNOG00000016046" "Hecw1" "HECW1"
"30" "ENSG00000002746" "ENSDARG00000100958" "HECW1" "HECW1" "ENSGALG00010007915" "HECW1" "HECW1" "ENSRNOG00000016046" "Hecw1" "HECW1"
"31" "ENSG00000002822" "ENSDARG00000033852" "mad1l1" "MAD1L1" "ENSGALG00010019848" "MAD1L1" "MAD1L1" "ENSRNOG00000001265" "Mad1l1" "MAD1L1"
"32" "ENSG00000002834" "ENSDARG00000057867" "lasp1" "LASP1" "ENSGALG00010026149" "LASP1" "LASP1" "ENSRNOG00000004132" "Lasp1" "LASP1"
"33" "ENSG00000002919" "ENSDARG00000052522" "snx11" "SNX11" "ENSGALG00010021554" "SNX11" "SNX11" "ENSRNOG00000008642" "Snx11" "SNX11"
"34" "ENSG00000003056" "ENSDARG00000018432" "m6pr" "M6PR" "ENSGALG00010022885" "M6PR" "M6PR" "ENSRNOG00000069568" "M6pr-ps1" "M6PR"
"35" "ENSG00000003056" "ENSDARG00000018432" "m6pr" "M6PR" "ENSGALG00010022885" "M6PR" "M6PR" "ENSRNOG00000014992" "M6pr" "M6PR"
"36" "ENSG00000003096" "ENSDARG00000103786" "klhl13" "KLHL13" "ENSGALG00010014494" "KLHL9" "KLHL13" "ENSRNOG00000014029" "Klhl13" "KLHL13"
"37" "ENSG00000003096" "ENSDARG00000086463" "klhl13" "KLHL13" "ENSGALG00010014494" "KLHL9" "KLHL13" "ENSRNOG00000014029" "Klhl13" "KLHL13"
"38" "ENSG00000003137" "ENSDARG00000077121" "cyp26b1" "CYP26B1" "ENSGALG00010018425" "CYP26B1" "CYP26B1" "ENSRNOG00000015076" "Cyp26b1" "CYP26B1"
"39" "ENSG00000003249" "ENSDARG00000090108" "dbndd1" "DBNDD1" "ENSGALG00010008113" "DBNDD1" "DBNDD1" "ENSRNOG00000026974" "Dbndd1" "DBNDD1"
"40" "ENSG00000003393" "ENSDARG00000075111" "als2a" "ALS2" "ENSGALG00010025055" "ALS2" "ALS2" "ENSRNOG00000023280" "Als2" "ALS2"
"41" "ENSG00000003393" "ENSDARG00000076924" "als2b" "ALS2" "ENSGALG00010025055" "ALS2" "ALS2" "ENSRNOG00000023280" "Als2" "ALS2"
"42" "ENSG00000003402" "ENSDARG00000074802" "" "CFLAR" "ENSGALG00010024876" "CFLAR" "CFLAR" "ENSRNOG00000012473" "Cflar" "CFLAR"
"43" "ENSG00000003402" "ENSDARG00000055966" "cflara" "CFLAR" "ENSGALG00010024876" "CFLAR" "CFLAR" "ENSRNOG00000012473" "Cflar" "CFLAR"
"44" "ENSG00000003436" "ENSDARG00000034718" "tfpia" "TFPI" "ENSGALG00010013303" "TFPI" "TFPI" "ENSRNOG00000005039" "Tfpi" "TFPI"
"45" "ENSG00000003509" "ENSDARG00000033134" "ndufaf7" "NDUFAF7" "ENSGALG00010007098" "NDUFAF7" "NDUFAF7" "ENSRNOG00000005279" "Ndufaf7" "NDUFAF7"
"46" "ENSG00000003509" "ENSDARG00000033134" "ndufaf7" "NDUFAF7" "ENSGALG00010007098" "NDUFAF7" "NDUFAF7" "ENSRNOG00000033638" "AABR07025743.1" "NDUFAF7"
"47" "ENSG00000003756" "ENSDARG00000098280" "rbm5" "RBM5" "ENSGALG00010027571" "RBM10" "RBM5" "ENSRNOG00000018153" "Rbm5" "RBM5"
"48" "ENSG00000003987" "ENSDARG00000070412" "mtmr7b" "MTMR7" "ENSGALG00010015904" "MTMR7" "MTMR7" "ENSRNOG00000011420" "Mtmr7" "MTMR7"
"49" "ENSG00000003987" "ENSDARG00000037101" "mtmr7a" "MTMR7" "ENSGALG00010015904" "MTMR7" "MTMR7" "ENSRNOG00000011420" "Mtmr7" "MTMR7"
"50" "ENSG00000003989" "ENSDARG00000037097" "slc7a2" "SLC7A2" "ENSGALG00010015869" "SLC7A2" "SLC7A2" "ENSRNOG00000011016" "Slc7a2" "SLC7A2"
"51" "ENSG00000004139" "ENSDARG00000010610" "sarm1" "SARM1" "ENSGALG00010029411" "SARM1" "SARM1" "ENSRNOG00000010244" "Sarm1" "SARM1"
"52" "ENSG00000004142" "ENSDARG00000092305" "poldip2" "POLDIP2" "ENSGALG00010029405" "POLDIP2" "POLDIP2" "ENSRNOG00000009252" "Poldip2" "POLDIP2"
"53" "ENSG00000004455" "ENSDARG00000005926" "ak2" "AK2" "ENSGALG00010017707" "AK2" "AK2" "ENSRNOG00000000122" "Ak2" "AK2"
"54" "ENSG00000004455" "ENSDARG00000005926" "ak2" "AK2" "ENSGALG00010017707" "AK2" "AK2" "ENSRNOG00000052702" "RGD1562178" "AK2"
"55" "ENSG00000004468" "ENSDARG00000113438" "" "CD38" "ENSGALG00010010505" "CD38" "CD38" "ENSRNOG00000003069" "Cd38" "CD38"
"56" "ENSG00000004478" "ENSDARG00000008447" "fkbp4" "FKBP4" "ENSGALG00010024793" "FKBP4" "FKBP4" "ENSRNOG00000006444" "Fkbp4" "FKBP4"
"57" "ENSG00000004487" "ENSDARG00000060679" "kdm1a" "KDM1A" "ENSGALG00010014192" "KDM1A" "KDM1A" "ENSRNOG00000022372" "Kdm1a" "KDM1A"
"58" "ENSG00000004534" "ENSDARG00000077060" "" "RBM6" "ENSGALG00010027327" "RBM6" "RBM6" "ENSRNOG00000018333" "Rbm6" "RBM6"
"59" "ENSG00000004660" "ENSDARG00000015134" "camkk1b" "CAMKK1" "ENSGALG00010029238" "CAMKK1" "CAMKK1" "ENSRNOG00000018242" "Camkk1" "CAMKK1"
"60" "ENSG00000004660" "ENSDARG00000035452" "camkk1a" "CAMKK1" "ENSGALG00010029238" "CAMKK1" "CAMKK1" "ENSRNOG00000018242" "Camkk1" "CAMKK1"
"61" "ENSG00000004700" "ENSDARG00000007175" "recql" "RECQL" "ENSGALG00010013867" "RECQL" "RECQL" "ENSRNOG00000012602" "Recql" "RECQL"
"62" "ENSG00000004766" "ENSDARG00000096912" "VPS50" "VPS50" "ENSGALG00010003243" "VPS50" "VPS50" "ENSRNOG00000009894" "Vps50" "VPS50"
"63" "ENSG00000004766" "ENSDARG00000002880" "vps50" "VPS50" "ENSGALG00010003243" "VPS50" "VPS50" "ENSRNOG00000009894" "Vps50" "VPS50"
"64" "ENSG00000004779" "ENSDARG00000014915" "ndufab1b" "NDUFAB1" "ENSGALG00010017057" "NDUFAB1" "NDUFAB1" "ENSRNOG00000018129" "Ndufab1" "NDUFAB1"
"65" "ENSG00000004779" "ENSDARG00000058463" "ndufab1a" "NDUFAB1" "ENSGALG00010017057" "NDUFAB1" "NDUFAB1" "ENSRNOG00000018129" "Ndufab1" "NDUFAB1"
"66" "ENSG00000004799" "ENSDARG00000054848" "pdk4" "PDK4" "ENSGALG00010002741" "PDK4" "PDK4" "ENSRNOG00000009565" "Pdk4" "PDK4"
"67" "ENSG00000004809" "ENSDARG00000015869" "slc22a16" "SLC22A16" "ENSGALG00010013930" "SLC22A16" "SLC22A16" "ENSRNOG00000063767" "Slc22a16" "SLC22A16"
"68" "ENSG00000004838" "ENSDARG00000002406" "zmynd10" "ZMYND10" "ENSGALG00010028126" "ZMYND10" "ZMYND10" "ENSRNOG00000021602" "Zmynd10" "ZMYND10"
"69" "ENSG00000004848" "ENSDARG00000058011" "arxa" "ARX" "ENSGALG00010002079" "ARX" "ARX" "ENSRNOG00000053562" "Arx" "ARX"
"70" "ENSG00000004848" "ENSDARG00000101523" "arxb" "ARX" "ENSGALG00010002079" "ARX" "ARX" "ENSRNOG00000053562" "Arx" "ARX"
"71" "ENSG00000004864" "ENSDARG00000099353" "SLC25A13" "SLC25A13" "ENSGALG00010003666" "SLC25A13" "SLC25A13" "ENSRNOG00000009957" "Slc25a13" "SLC25A13"
"72" "ENSG00000004866" "ENSDARG00000112691" "st7" "ST7" "ENSGALG00010002280" "ST7" "ST7" "ENSRNOG00000056243" "ST7" "ST7"
"73" "ENSG00000004866" "ENSDARG00000039960" "ST7" "ST7" "ENSGALG00010002280" "ST7" "ST7" "ENSRNOG00000056243" "ST7" "ST7"
"74" "ENSG00000004897" "ENSDARG00000056258" "cdc27" "CDC27" "ENSGALG00010024770" "CDC27" "CDC27" "ENSRNOG00000005904" "Cdc27" "CDC27"
"75" "ENSG00000004939" "ENSDARG00000024560" "slc4a1b" "SLC4A1" "ENSGALG00010024885" "SLC4A1" "SLC4A1" "ENSRNOG00000020951" "Slc4a1" "SLC4A1"
"76" "ENSG00000004939" "ENSDARG00000012881" "slc4a1a" "SLC4A1" "ENSGALG00010024885" "SLC4A1" "SLC4A1" "ENSRNOG00000020951" "Slc4a1" "SLC4A1"
"77" "ENSG00000004948" "ENSDARG00000028845" "calcr" "CALCR" "ENSGALG00010003255" "CALCR" "CALCR" "ENSRNOG00000010053" "Calcr" "CALCR"
"78" "ENSG00000004961" "ENSDARG00000095776" "HCCS" "HCCS" "ENSGALG00010020975" "HCCS" "HCCS" "ENSRNOG00000025910" "Hccs" "HCCS"
"79" "ENSG00000004961" "ENSDARG00000028131" "hccsa.1" "HCCS" "ENSGALG00010020975" "HCCS" "HCCS" "ENSRNOG00000025910" "Hccs" "HCCS"
"80" "ENSG00000004961" "ENSDARG00000099358" "hccsb" "HCCS" "ENSGALG00010020975" "HCCS" "HCCS" "ENSRNOG00000025910" "Hccs" "HCCS"
"81" "ENSG00000005001" "ENSDARG00000079393" "tmprss15" "PRSS22" "ENSGALG00010022287" "" "PRSS22" "ENSRNOG00000039698" "Prss22" "PRSS22"
"82" "ENSG00000005001" "ENSDARG00000061173" "st14a" "PRSS22" "ENSGALG00010004460" "" "PRSS22" "ENSRNOG00000039698" "Prss22" "PRSS22"
"83" "ENSG00000005001" "ENSDARG00000044655" "st14b" "PRSS22" "ENSGALG00010022287" "" "PRSS22" "ENSRNOG00000039698" "Prss22" "PRSS22"
"84" "ENSG00000005001" "ENSDARG00000079393" "tmprss15" "PRSS22" "ENSGALG00010004460" "" "PRSS22" "ENSRNOG00000039698" "Prss22" "PRSS22"
"85" "ENSG00000005001" "ENSDARG00000044655" "st14b" "PRSS22" "ENSGALG00010004460" "" "PRSS22" "ENSRNOG00000039698" "Prss22" "PRSS22"
"86" "ENSG00000005001" "ENSDARG00000061173" "st14a" "PRSS22" "ENSGALG00010022287" "" "PRSS22" "ENSRNOG00000039698" "Prss22" "PRSS22"
"87" "ENSG00000005001" "ENSDARG00000062758" "" "PRSS22" "ENSGALG00010022287" "" "PRSS22" "ENSRNOG00000039698" "Prss22" "PRSS22"
"88" "ENSG00000005001" "ENSDARG00000062758" "" "PRSS22" "ENSGALG00010004460" "" "PRSS22" "ENSRNOG00000039698" "Prss22" "PRSS22"
"89" "ENSG00000005007" "ENSDARG00000016302" "upf1" "UPF1" "ENSGALG00010028176" "UPF1" "UPF1" "ENSRNOG00000020134" "Upf1" "UPF1"
"90" "ENSG00000005020" "ENSDARG00000000906" "skap2" "SKAP2" "ENSGALG00010001906" "SKAP2" "SKAP2" "ENSRNOG00000012228" "Skap2" "SKAP2"
"91" "ENSG00000005022" "ENSDARG00000092553" "slc25a5" "SLC25A5" "ENSGALG00010013021" "SLC25A5" "SLC25A5" "ENSRNOG00000066174" "" "SLC25A5"
"92" "ENSG00000005022" "ENSDARG00000092553" "slc25a5" "SLC25A5" "ENSGALG00010013021" "SLC25A5" "SLC25A5" "ENSRNOG00000068427" "Slc25a5-ps9" "SLC25A5"
"93" "ENSG00000005022" "ENSDARG00000092553" "slc25a5" "SLC25A5" "ENSGALG00010013021" "SLC25A5" "SLC25A5" "ENSRNOG00000039980" "Slc25a5" "SLC25A5"
"94" "ENSG00000005022" "ENSDARG00000092553" "slc25a5" "SLC25A5" "ENSGALG00010013021" "SLC25A5" "SLC25A5" "ENSRNOG00000063289" "" "SLC25A5"
"95" "ENSG00000005022" "ENSDARG00000092553" "slc25a5" "SLC25A5" "ENSGALG00010013021" "SLC25A5" "SLC25A5" "ENSRNOG00000063076" "" "SLC25A5"
"96" "ENSG00000005022" "ENSDARG00000092553" "slc25a5" "SLC25A5" "ENSGALG00010013021" "SLC25A5" "SLC25A5" "ENSRNOG00000042387" "Slc25a6" "SLC25A5"
"97" "ENSG00000005073" "ENSDARG00000007009" "hoxa11b" "HOXA11" "ENSGALG00010001848" "HOXA11" "HOXA11" "ENSRNOG00000059870" "Hoxa11" "HOXA11"
"98" "ENSG00000005073" "ENSDARG00000104162" "hoxa11a" "HOXA11" "ENSGALG00010001848" "HOXA11" "HOXA11" "ENSRNOG00000059870" "Hoxa11" "HOXA11"
"99" "ENSG00000005075" "ENSDARG00000035146" "polr2j" "POLR2J" "ENSGALG00010029311" "" "POLR2J" "ENSRNOG00000001430" "Polr2j" "POLR2J"
"100" "ENSG00000005100" "ENSDARG00000051785" "dhx33" "DHX33" "ENSGALG00010029246" "DHX33" "DHX33" "ENSRNOG00000007054" "Dhx33" "DHX33"
"101" "ENSG00000005102" "ENSDARG00000007891" "meox1" "MEOX1" "ENSGALG00010024300" "MEOX1" "MEOX1" "ENSRNOG00000020803" "Meox1" "MEOX1"
"102" "ENSG00000005108" "ENSDARG00000061479" "thsd7aa" "THSD7A" "ENSGALG00010003895" "THSD7A" "THSD7A" "ENSRNOG00000030151" "Thsd7a" "THSD7A"
"103" "ENSG00000005108" "ENSDARG00000090496" "THSD7A" "THSD7A" "ENSGALG00010003895" "THSD7A" "THSD7A" "ENSRNOG00000030151" "Thsd7a" "THSD7A"
"104" "ENSG00000005156" "ENSDARG00000052553" "lig3" "LIG3" "ENSGALG00010029631" "LIG3" "LIG3" "ENSRNOG00000021815" "Lig3" "LIG3"
"105" "ENSG00000005175" "ENSDARG00000087962" "rpap3" "RPAP3" "ENSGALG00010014134" "RPAP3" "RPAP3" "ENSRNOG00000053405" "Rpap3" "RPAP3"
"106" "ENSG00000005187" "ENSDARG00000004880" "acsm3" "ACSM3" "ENSGALG00010017967" "ACSM3" "ACSM3" "ENSRNOG00000032246" "Acsm3" "ACSM3"
"107" "ENSG00000005194" "ENSDARG00000045733" "ciapin1" "CIAPIN1" "ENSGALG00010022296" "CIAPIN1" "CIAPIN1" "ENSRNOG00000016234" "Ciapin1" "CIAPIN1"
"108" "ENSG00000005206" "ENSDARG00000030448" "sppl2" "SPPL2B" "ENSGALG00010028357" "SPPL2C" "SPPL2B" "ENSRNOG00000057881" "Sppl2b" "SPPL2B"
"109" "ENSG00000005238" "ENSDARG00000068650" "" "ATOSB" "ENSGALG00010011571" "ATOSB" "ATOSB" "ENSRNOG00000009323" "Atosb" "ATOSB"
"110" "ENSG00000005249" "ENSDARG00000036446" "PRKAR2B" "PRKAR2B" "ENSGALG00010009073" "PRKAR2B" "PRKAR2B" "ENSRNOG00000009079" "Prkar2b" "PRKAR2B"
"111" "ENSG00000005339" "ENSDARG00000112452" "crebbpb" "CREBBP" "ENSGALG00010016508" "CREBBP" "CREBBP" "ENSRNOG00000005330" "Crebbp" "CREBBP"
"112" "ENSG00000005339" "ENSDARG00000104609" "crebbpa" "CREBBP" "ENSGALG00010016508" "CREBBP" "CREBBP" "ENSRNOG00000005330" "Crebbp" "CREBBP"
"113" "ENSG00000005379" "ENSDARG00000103792" "" "TSPOAP1" "ENSGALG00010029572" "TSPOAP1" "TSPOAP1" "ENSRNOG00000007957" "Tspoap1" "TSPOAP1"
"114" "ENSG00000005421" "ENSDARG00000032496" "pon1" "PON1" "ENSGALG00010002904" "PON1" "PON1" "ENSRNOG00000008902" "Pon1" "PON1"
"115" "ENSG00000005421" "ENSDARG00000016856" "pon2" "PON1" "ENSGALG00010002904" "PON1" "PON1" "ENSRNOG00000008902" "Pon1" "PON1"
"116" "ENSG00000005421" "ENSDARG00000097789" "pon3.2" "PON1" "ENSGALG00010002904" "PON1" "PON1" "ENSRNOG00000008902" "Pon1" "PON1"
"117" "ENSG00000005421" "ENSDARG00000040290" "pon3.1" "PON1" "ENSGALG00010002904" "PON1" "PON1" "ENSRNOG00000008902" "Pon1" "PON1"
"118" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008390" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"119" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008647" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"120" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010001186" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"121" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008370" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"122" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008445" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"123" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008239" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"124" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008704" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"125" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008420" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"126" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008508" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"127" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008735" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"128" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008430" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"129" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008801" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"130" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008271" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"131" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008304" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"132" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008870" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"133" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008563" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"134" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008616" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"135" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008379" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"136" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008398" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"137" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008260" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"138" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008357" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"139" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008882" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"140" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008254" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"141" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008349" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"142" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008359" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"143" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008280" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"144" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008668" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"145" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008244" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"146" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008338" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"147" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008249" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"148" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008288" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"149" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008328" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"150" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008315" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"151" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008840" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
"152" "ENSG00000005436" "ENSDARG00000079020" "gcfc2" "GCFC2" "ENSGALG00010008439" "" "GCFC2" "ENSRNOG00000006888" "Gcfc2" "GCFC2"
